iter	Logloss
0	0.6709945499
1	0.6525372969
2	0.634495157
3	0.6191266989
4	0.602534572
5	0.5919455939
6	0.5823529912
7	0.5707455862
8	0.5641864274
9	0.5562794332
10	0.5490082145
11	0.5426401368
12	0.5385060109
13	0.5349048873
14	0.5314646964
15	0.5262345815
16	0.5224708903
17	0.5191231299
18	0.5161217579
19	0.5135716565
20	0.510820018
21	0.5091592108
22	0.5072009068
23	0.5055026931
24	0.5030046953
25	0.5001312065
26	0.498083091
27	0.4961007873
28	0.4948647289
29	0.4936134183
30	0.4921824327
31	0.4904613158
32	0.4883541827
33	0.4872159695
34	0.4859058655
35	0.4845131664
36	0.4829829288
37	0.4811691017
38	0.4800397989
39	0.4790633518
40	0.4783254398
41	0.4771810995
42	0.4761253554
43	0.4749375758
44	0.4740907529
45	0.4730936395
46	0.4723683661
47	0.4715170056
48	0.4706624482
49	0.4699879335
50	0.4692840215
51	0.4680815485
52	0.4666921349
53	0.465948574
54	0.4654977909
55	0.464340502
56	0.4637369328
57	0.4631155365
58	0.4616727146
59	0.4610726495
60	0.4601401919
61	0.4591137342
62	0.4584345943
63	0.4577240985
64	0.4571622574
65	0.4565678578
66	0.4559673252
67	0.4556159042
68	0.4550794795
69	0.4547302443
70	0.4541954261
71	0.4535572787
72	0.4527188354
73	0.45207365
74	0.4515940306
75	0.4509499631
76	0.4506411885
77	0.4501229076
78	0.4496176827
79	0.448831622
80	0.4480449578
81	0.4473897094
82	0.4467999179
83	0.4461801648
84	0.4457186501
85	0.4452742879
86	0.4442516432
87	0.4437738792
88	0.4432588929
89	0.4426290887
90	0.4421316961
91	0.441747487
92	0.4413503421
93	0.4409607682
94	0.4406003936
95	0.4401821383
96	0.4395762895
97	0.4391396827
98	0.4384632886
99	0.4376720242
100	0.4370980091
101	0.436837544
102	0.436382734
103	0.4358765048
104	0.4354547944
105	0.4348676208
106	0.4343432221
107	0.433748522
108	0.4332245869
109	0.432449318
110	0.4318306958
111	0.43079984
112	0.4303137069
113	0.429592984
114	0.428886332
115	0.4277354707
116	0.4270420368
117	0.4264435971
118	0.4260928642
119	0.4255586474
120	0.4250450749
121	0.4243211386
122	0.4238302681
123	0.423252966
124	0.4225887391
125	0.4222102779
126	0.4218299651
127	0.4212066124
128	0.4206524745
129	0.4200462621
130	0.4194112499
131	0.4189944561
132	0.4184821443
133	0.4180627727
134	0.4174083247
135	0.4166961993
136	0.416198762
137	0.4156964465
138	0.4152533613
139	0.4145012939
140	0.4140144878
141	0.413513161
142	0.4131610115
143	0.4126078298
144	0.4120117747
145	0.4116081911
146	0.4110063427
147	0.4102977536
148	0.4098378202
149	0.4091369694
150	0.4086210564
151	0.4077929002
152	0.4071671718
153	0.4067606595
154	0.4062562194
155	0.4056490072
156	0.4048977788
157	0.4043739486
158	0.4036774967
159	0.4029769269
160	0.4023490745
161	0.4019119165
162	0.4013464046
163	0.4007335726
164	0.4003370278
165	0.3997371856
166	0.3992445468
167	0.3987953917
168	0.3984050787
169	0.3979459431
170	0.3975723184
171	0.3970250435
172	0.3964941345
173	0.3958728912
174	0.3955310321
175	0.3949508592
176	0.3943964827
177	0.3939353576
178	0.3934517176
179	0.392971891
180	0.3925183834
181	0.392030236
182	0.3916771694
183	0.3912821463
184	0.3908422242
185	0.3903984873
186	0.3899982954
187	0.389438945
188	0.3888893395
189	0.3884479487
190	0.3876552854
191	0.3871245445
192	0.386575329
193	0.3861295987
194	0.3856735393
195	0.3850317936
196	0.3846422369
197	0.3841561787
198	0.3837341878
199	0.383126536
200	0.3825141957
201	0.3819878792
202	0.381618311
203	0.3812180881
204	0.3804651592
205	0.3796168525
206	0.3788646579
207	0.3783784637
208	0.378050777
209	0.3775899074
210	0.3771982181
211	0.3767359659
212	0.3763538702
213	0.3759902304
214	0.3755788974
215	0.3751925846
216	0.3747233043
217	0.3743761762
218	0.3739268128
219	0.3735394486
220	0.3731285066
221	0.3726451121
222	0.3724243975
223	0.3719937484
224	0.371448482
225	0.3711244289
226	0.3706027298
227	0.3700734036
228	0.369690175
229	0.3692926801
230	0.3688624353
231	0.3685360054
232	0.3679841343
233	0.3675160951
234	0.367135559
235	0.3668124083
236	0.3663344113
237	0.3658663402
238	0.3653055847
239	0.3649072354
240	0.3644769556
241	0.3641917182
242	0.3636628681
243	0.3632148211
244	0.3628094366
245	0.3623742832
246	0.3620934449
247	0.3617470816
248	0.3612846603
249	0.3608567868
250	0.3604250506
251	0.3599317284
252	0.3595669265
253	0.3592352637
254	0.3589336922
255	0.3586095675
256	0.3582209195
257	0.3578635116
258	0.3575800942
259	0.3570975224
