iter	Passed	Remaining
0	13	6696
1	30	7524
2	46	7534
3	60	7437
4	76	7443
5	91	7438
6	108	7526
7	124	7551
8	140	7532
9	156	7534
10	172	7551
11	188	7557
12	203	7502
13	218	7458
14	233	7428
15	249	7408
16	264	7391
17	279	7361
18	294	7336
19	309	7303
20	324	7282
21	341	7294
22	356	7276
23	371	7237
24	387	7229
25	402	7215
26	418	7205
27	434	7208
28	450	7191
29	465	7167
30	480	7147
31	496	7131
32	510	7097
33	525	7073
34	541	7064
35	555	7039
36	570	7011
37	584	6981
38	599	6959
39	613	6934
40	628	6918
41	643	6893
42	657	6870
43	672	6849
44	687	6826
45	701	6803
46	716	6783
47	730	6760
48	745	6741
49	761	6728
50	776	6715
51	792	6702
52	808	6693
53	825	6692
54	842	6693
55	859	6691
56	876	6685
57	891	6672
58	907	6663
59	925	6663
60	941	6655
61	959	6655
62	976	6646
63	992	6634
64	1007	6620
65	1024	6609
66	1039	6592
67	1055	6583
68	1070	6563
69	1086	6547
70	1103	6542
71	1120	6537
72	1140	6547
73	1164	6578
74	1187	6599
75	1203	6585
76	1219	6574
77	1234	6552
78	1250	6535
79	1266	6522
80	1281	6501
81	1297	6485
82	1314	6476
83	1330	6461
84	1345	6442
85	1361	6429
86	1377	6411
87	1391	6389
88	1407	6373
89	1423	6356
90	1438	6339
91	1454	6322
92	1469	6303
93	1484	6286
94	1500	6268
95	1515	6251
96	1530	6231
97	1545	6212
98	1561	6196
99	1577	6183
100	1592	6164
101	1607	6147
102	1622	6128
103	1637	6107
104	1651	6086
105	1666	6067
106	1681	6050
107	1696	6030
108	1711	6012
109	1726	5994
110	1741	5978
111	1756	5960
112	1772	5944
113	1786	5923
114	1801	5906
115	1816	5888
116	1831	5870
117	1846	5854
118	1861	5835
119	1877	5820
120	1892	5801
121	1906	5782
122	1921	5765
123	1936	5747
124	1951	5728
125	1966	5712
126	1982	5697
127	1997	5678
128	2011	5660
129	2026	5643
130	2041	5627
131	2056	5607
132	2071	5592
133	2086	5575
134	2101	5556
135	2116	5539
136	2131	5523
137	2146	5505
138	2161	5488
139	2176	5472
140	2191	5456
141	2207	5440
142	2222	5423
143	2236	5405
144	2251	5389
145	2267	5373
146	2281	5355
147	2296	5338
148	2314	5327
149	2329	5310
150	2345	5296
151	2360	5280
152	2375	5264
153	2391	5247
154	2406	5231
155	2421	5215
156	2436	5199
157	2452	5184
158	2468	5169
159	2483	5153
160	2498	5136
161	2514	5121
162	2529	5104
163	2543	5086
164	2557	5069
165	2572	5052
166	2587	5035
167	2602	5018
168	2617	5001
169	2632	4985
170	2648	4971
171	2663	4955
172	2678	4939
173	2693	4922
174	2708	4906
175	2723	4889
176	2738	4873
177	2753	4856
178	2767	4839
179	2781	4821
180	2796	4805
181	2811	4789
182	2826	4772
183	2841	4756
184	2857	4742
185	2873	4726
186	2889	4712
187	2904	4696
188	2919	4679
189	2934	4664
190	2950	4649
191	2968	4637
192	2984	4623
193	3000	4609
194	3018	4596
195	3035	4584
196	3051	4570
197	3068	4556
198	3085	4543
199	3102	4529
200	3118	4514
201	3134	4500
202	3151	4486
203	3166	4470
204	3181	4454
205	3198	4440
206	3216	4428
207	3231	4412
208	3247	4397
209	3264	4383
210	3279	4367
211	3295	4352
212	3311	4337
213	3327	4322
214	3342	4305
215	3358	4291
216	3374	4276
217	3390	4261
218	3406	4246
219	3423	4232
220	3438	4216
221	3455	4202
222	3472	4189
223	3488	4173
224	3503	4157
225	3518	4141
226	3534	4126
227	3549	4110
228	3564	4094
229	3582	4081
230	3598	4065
231	3613	4049
232	3628	4033
233	3644	4018
234	3659	4001
235	3674	3985
236	3688	3968
237	3703	3952
238	3718	3936
239	3732	3919
240	3748	3904
241	3762	3887
242	3778	3871
243	3794	3856
244	3809	3840
245	3824	3824
246	3838	3807
247	3854	3792
248	3869	3776
249	3885	3761
250	3901	3746
251	3917	3730
252	3931	3714
253	3946	3697
254	3961	3681
255	3976	3665
256	3993	3651
257	4008	3635
258	4024	3620
259	4040	3604
260	4055	3589
261	4069	3572
262	4084	3556
263	4100	3541
264	4115	3525
265	4129	3508
266	4145	3493
267	4159	3476
268	4174	3460
269	4188	3444
270	4204	3428
271	4219	3412
272	4235	3397
273	4257	3387
274	4271	3370
275	4286	3354
276	4303	3340
277	4318	3323
278	4332	3307
279	4348	3292
280	4364	3277
281	4379	3261
282	4394	3245
283	4410	3230
284	4426	3215
285	4442	3199
286	4457	3184
287	4473	3168
288	4489	3153
289	4505	3138
290	4520	3122
291	4536	3107
292	4550	3090
293	4565	3074
294	4582	3059
295	4597	3044
296	4613	3028
297	4628	3013
298	4643	2997
299	4657	2980
300	4672	2964
301	4686	2948
302	4702	2933
303	4717	2917
304	4732	2901
305	4747	2885
306	4763	2870
307	4777	2854
308	4792	2838
309	4807	2822
310	4823	2807
311	4839	2792
312	4854	2776
313	4871	2761
314	4886	2745
315	4901	2730
316	4923	2718
317	4939	2702
318	4955	2687
319	4971	2671
320	4986	2656
321	5002	2641
322	5018	2625
323	5034	2610
324	5051	2595
325	5067	2580
326	5083	2565
327	5100	2550
328	5119	2536
329	5136	2521
330	5155	2507
331	5173	2493
332	5190	2478
333	5206	2463
334	5224	2448
335	5241	2433
336	5258	2418
337	5273	2402
338	5291	2388
339	5308	2373
340	5325	2358
341	5341	2342
342	5358	2327
343	5372	2311
344	5388	2295
345	5403	2280
346	5419	2264
347	5434	2248
348	5452	2233
349	5468	2218
350	5483	2202
351	5497	2186
352	5512	2170
353	5528	2155
354	5543	2139
355	5558	2123
356	5573	2107
357	5588	2091
358	5604	2076
359	5619	2060
360	5634	2044
361	5650	2029
362	5665	2013
363	5681	1998
364	5698	1982
365	5713	1966
366	5727	1950
367	5743	1935
368	5758	1919
369	5773	1903
370	5789	1888
371	5804	1872
372	5819	1856
373	5834	1840
374	5849	1824
375	5864	1809
376	5879	1793
377	5893	1777
378	5908	1761
379	5923	1745
380	5938	1730
381	5953	1714
382	5968	1698
383	5984	1683
384	5998	1667
385	6013	1651
386	6029	1635
387	6044	1620
388	6059	1604
389	6075	1588
390	6089	1573
391	6105	1557
392	6122	1542
393	6138	1526
394	6153	1511
395	6168	1495
396	6184	1479
397	6198	1463
398	6213	1448
399	6227	1432
400	6242	1416
401	6257	1400
402	6273	1385
403	6288	1369
404	6303	1354
405	6318	1338
406	6333	1322
407	6349	1307
408	6364	1291
409	6378	1275
410	6393	1259
411	6407	1244
412	6423	1228
413	6438	1212
414	6452	1197
415	6468	1181
416	6485	1166
417	6501	1151
418	6517	1135
419	6532	1119
420	6547	1104
421	6562	1088
422	6577	1072
423	6592	1057
424	6607	1041
425	6622	1026
426	6638	1010
427	6652	994
428	6668	979
429	6683	963
430	6698	948
431	6713	932
432	6730	917
433	6746	901
434	6761	886
435	6776	870
436	6792	854
437	6807	839
438	6823	823
439	6837	808
440	6852	792
441	6867	776
442	6885	761
443	6901	746
444	6918	730
445	6936	715
446	6951	699
447	6969	684
448	6984	668
449	7001	653
450	7018	638
451	7034	622
452	7050	606
453	7065	591
454	7081	575
455	7096	560
456	7114	544
457	7130	529
458	7147	513
459	7163	498
460	7178	482
461	7194	467
462	7211	451
463	7227	436
464	7243	420
465	7261	405
466	7279	389
467	7298	374
468	7315	358
469	7332	343
470	7348	327
471	7365	312
472	7382	296
473	7400	281
474	7417	265
475	7434	249
476	7450	234
477	7466	218
478	7481	203
479	7495	187
480	7512	171
481	7527	156
482	7541	140
483	7557	124
484	7572	109
485	7586	93
486	7601	78
487	7616	62
488	7632	46
489	7648	31
490	7664	15
491	7680	0
