gameId,playId,def_a_max,def_s_max,def_dis_max
2022090800,56,3.31,3.65,18.76
2022090800,80,2.59,2.25,8.33
2022090800,101,2.25,2.85,13.46
2022090800,122,3.54,1.95,10.26
2022090800,167,2.97,1.9,12.61
2022090800,191,2.36,1.79,12.03
2022090800,212,3.49,4.6,18.42
2022090800,236,4.36,3.09,14.26
2022090800,299,4.12,5.18,17.02
2022090800,343,3.62,4.44,18.3
2022090800,364,3.31,3.36,17.2
2022090800,393,3.04,3.6,18.71
2022090800,414,1.79,2.14,3.63
2022090800,438,2.68,2.19,6.21
2022090800,467,2.02,1.75,6.23
2022090800,486,1.79,3.64,9.56
2022090800,529,2.29,1.43,6.54
2022090800,550,3.07,2.82,17.53
2022090800,569,2.46,3.11,16.75
2022090800,593,1.99,3.09,17.94
2022090800,617,3.73,1.91,16.06
2022090800,646,2.06,2.95,13.98
2022090800,692,3.92,3.58,18.31
2022090800,721,3.12,3.97,25.72
2022090800,775,1.97,3.7,6.79
2022090800,818,5.27,5.78,26.63
2022090800,867,4.02,2.03,7.15
2022090800,896,2.69,2.68,15.31
2022090800,933,4.46,4.35,10.74
2022090800,954,2.05,3.95,7.0
2022090800,1009,2.62,2.98,17.01
2022090800,1030,3.88,2.91,16.1
2022090800,1102,1.97,1.96,17.69
2022090800,1126,3.4,2.14,14.28
2022090800,1187,4.51,2.94,10.0
2022090800,1208,3.45,3.19,12.68
2022090800,1230,1.86,2.38,12.65
2022090800,1254,3.41,3.13,15.69
2022090800,1286,3.65,2.19,9.39
2022090800,1315,2.95,4.25,26.68
2022090800,1334,3.13,2.48,12.530000000000001
2022090800,1358,5.54,4.81,15.48
2022090800,1385,3.43,1.69,10.92
2022090800,1406,2.15,3.51,9.72
2022090800,1427,3.52,2.25,6.76
2022090800,1483,5.57,2.74,16.51
2022090800,1504,3.36,2.67,15.620000000000001
2022090800,1563,4.32,2.74,6.5600000000000005
2022090800,1609,4.52,1.74,4.7
2022090800,1635,5.7,3.66,14.95
2022090800,1657,3.8,2.12,11.6
2022090800,1712,3.23,3.6,16.09
2022090800,1736,3.34,2.32,5.12
