team,week,off_snaps_lost,def_snaps_lost
ARI,2,21.0,0.0
ARI,3,0.0,8.5
ARI,4,50.0,35.5
ARI,5,0.0,48.0
ARI,6,53.4,9.0
ARI,7,86.93333333333332,0.0
ARI,8,37.8,0.8333333333333334
ARI,9,0.0,0.8333333333333334
ARI,11,57.5,65.88888888888889
ARI,12,114.875,65.88888888888889
ARI,14,57.375,65.88888888888889
ARI,15,0.0,116.65811965811966
ARI,16,57.25,116.65811965811966
ARI,17,57.25,50.76923076923077
ARI,18,200.72916666666666,170.26923076923077
ATL,2,10.0,0.0
ATL,5,48.0,0.0
ATL,6,0.0,62.4
ATL,7,4.5,0.0
ATL,8,0.0,113.0
ATL,9,0.0,53.0
ATL,10,0.0,53.0
BAL,2,5.0,0.0
BAL,4,0.0,36.333333333333336
BAL,5,56.75,36.333333333333336
BAL,6,56.75,36.333333333333336
BAL,7,25.75,0.0
BAL,8,0.0,44.714285714285715
BAL,9,100.91666666666667,0.0
BAL,11,0.0,12.5
BAL,12,0.0,12.5
BAL,13,7.25,0.0
BAL,14,60.666666666666664,0.8571428571428571
BAL,15,60.666666666666664,0.0
BAL,16,60.666666666666664,96.46153846153845
BAL,17,60.666666666666664,56.61538461538461
BAL,18,60.666666666666664,0.0
BUF,2,0.0,45.0
BUF,3,0.0,142.5
BUF,4,24.0,66.83333333333334
BUF,5,100.0,96.33333333333334
BUF,6,24.0,0.0
BUF,9,0.0,59.2
BUF,10,0.0,137.45
BUF,11,15.333333333333334,88.0
BUF,12,0.0,112.3
BUF,13,0.0,40.90909090909091
BUF,14,0.0,31.2
BUF,15,0.0,31.2
BUF,16,0.0,25.928571428571427
CAR,2,0.0,0.0
CAR,5,9.833333333333334,0.0
CAR,6,64.3,0.0
CAR,7,56.8,52.5
CAR,8,7.571428571428571,0.0
CAR,9,14.238095238095237,48.5
CAR,10,3.0,48.5
CAR,11,43.333333333333336,161.26666666666665
CAR,12,43.333333333333336,138.85757575757575
CAR,15,0.0,4.416666666666667
CAR,17,0.0,62.46153846153846
CHI,2,0.0,0.0
CHI,3,21.0,18.0
CHI,4,48.33333333333333,85.5
CHI,5,0.0,67.5
CHI,10,0.0,87.55555555555556
CHI,11,33.666666666666664,0.0
CHI,12,0.0,121.18181818181819
CHI,13,30.0,121.18181818181819
CHI,15,60.02564102564103,0.0
CHI,16,97.09706959706959,48.27272727272727
CHI,18,61.13333333333333,29.0
CIN,3,19.5,44.0
CIN,4,19.5,32.333333333333336
CIN,7,4.166666666666667,96.16666666666667
CIN,8,71.02380952380953,90.28571428571428
CIN,9,66.85714285714286,89.875
CIN,11,66.85714285714286,36.333333333333336
CIN,12,45.8,0.0
CIN,14,41.416666666666664,0.0
CIN,15,41.416666666666664,49.0
CIN,16,0.0,52.5
CLE,3,0.0,39.0
CLE,4,0.0,41.666666666666664
CLE,6,0.0,99.53333333333333
CLE,7,0.0,56.2
CLE,8,59.142857142857146,56.2
CLE,10,59.142857142857146,43.0
CLE,11,0.0,81.94444444444444
CLE,12,0.0,61.111111111111114
CLE,13,56.22222222222222,0.0
CLE,16,0.0,40.18181818181818
CLE,18,0.0,57.28333333333333
DAL,2,53.0,60.0
DAL,3,53.0,42.0
DAL,4,53.0,0.0
DAL,5,53.0,0.0
DAL,6,1.2,0.0
DAL,8,38.42857142857143,0.0
DAL,10,0.0,41.875
DAL,12,0.0,79.5
DAL,14,0.0,60.75
DAL,15,29.076923076923077,0.0
DAL,16,0.0,71.13186813186813
DAL,17,0.0,53.285714285714285
DAL,18,0.0,53.285714285714285
DEN,2,40.0,0.0
DEN,3,0.0,0.0
DEN,4,19.5,5.0
DEN,5,0.0,5.5
DEN,6,0.0,109.0
DEN,7,0.0,63.4
DEN,8,9.8,100.11428571428571
DEN,10,32.0,36.714285714285715
DEN,11,76.11111111111111,0.0
DEN,12,76.11111111111111,0.0
DEN,13,32.0,0.0
DEN,14,59.25,0.0
DEN,15,162.82575757575756,0.0
DEN,16,38.90909090909091,0.0
DEN,17,49.7,31.5
DEN,18,38.416666666666664,37.333333333333336
DET,3,0.0,29.5
DET,4,93.0,29.5
DET,5,101.75,88.75
DET,7,52.666666666666664,61.75
DET,8,0.0,166.0
DET,9,54.0,41.416666666666664
DET,10,54.0,0.0
DET,11,0.0,92.25
DET,12,0.0,150.95
DET,13,0.0,22.2
DET,14,0.0,23.583333333333332
DET,15,0.0,43.416666666666664
DET,16,13.0,61.84615384615385
DET,17,0.0,61.84615384615385
GB,3,42.5,0.0
GB,6,24.5,0.0
GB,7,53.33333333333333,0.0
GB,8,57.166666666666664,0.5
GB,9,0.0,55.375
GB,10,45.77777777777778,125.375
GB,11,45.77777777777778,55.375
GB,12,45.77777777777778,54.875
GB,13,0.0,56.583333333333336
HOU,3,32.5,1.0
HOU,4,32.5,0.0
HOU,5,67.0,9.25
HOU,7,0.0,44.5
HOU,9,41.833333333333336,38.166666666666664
HOU,11,0.0,66.66666666666667
HOU,12,0.0,66.66666666666667
HOU,13,49.3,66.66666666666667
HOU,14,93.5,97.66666666666667
HOU,15,132.5769230769231,130.82051282051282
HOU,16,44.2,0.0
HOU,17,35.0,0.0
HOU,18,31.0,0.0
IND,2,47.0,0.0
IND,3,0.0,0.0
IND,4,0.0,47.666666666666664
IND,5,54.75,100.66666666666666
IND,6,0.0,60.2
IND,7,0.0,60.2
IND,8,71.57142857142857,44.2
IND,9,120.57142857142857,0.0
IND,10,33.44444444444444,24.666666666666668
IND,11,17.0,40.714285714285715
IND,13,0.0,64.41666666666667
IND,15,12.4,91.72435897435898
IND,16,31.384615384615383,64.41666666666667
IND,17,50.93006993006993,64.41666666666667
IND,18,59.05128205128205,0.0
JAX,5,0.0,25.25
JAX,7,9.166666666666666,67.2
JAX,8,0.0,27.166666666666668
JAX,14,0.0,15.833333333333334
JAX,16,0.0,86.43589743589743
KC,2,0.0,0.0
KC,3,0.0,36.0
KC,4,0.0,36.0
KC,5,0.0,0.0
KC,6,0.0,111.4
KC,7,0.0,62.6
KC,9,15.714285714285714,0.0
KC,10,37.875,0.0
KC,11,49.44444444444444,0.0
KC,12,17.2,0.0
KC,13,17.2,0.0
KC,16,14.225274725274724,25.0
KC,18,19.5625,0.0
